I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
152.594604,153.110962,9.328945,9.328962,-151.556396,0.000000,0.000000,0.000000,0.000000,0.000000
150.507202,151.034546,11.125112,11.125072,-149.425049,0.000000,0.000000,0.000000,0.000000,0.000000
148.298950,148.864746,12.917685,12.917655,-147.178345,0.000000,0.000000,0.000000,0.000000,0.000000
146.046753,146.618042,14.705833,14.706013,-144.904175,0.000000,0.000000,0.000000,0.000000,0.000000
143.745117,144.327393,16.488499,16.488749,-142.591553,0.000000,0.000000,0.000000,0.000000,0.000000
141.432495,142.020264,18.264921,18.264803,-140.245972,0.000000,0.000000,0.000000,0.000000,0.000000
139.048462,139.652710,20.033922,20.033823,-137.834473,0.000000,0.000000,0.000000,0.000000,0.000000
136.576538,137.213745,21.794735,21.794781,-135.307617,0.000000,0.000000,0.000000,0.000000,0.000000
134.022217,134.659424,23.546329,23.546345,-132.720337,0.000000,0.000000,0.000000,0.000000,0.000000
131.429443,132.077637,25.287708,25.287937,-130.116577,0.000000,0.000000,0.000000,0.000000,0.000000
128.814697,129.468384,27.017927,27.017628,-127.490845,0.000000,0.000000,0.000000,0.000000,0.000000
126.139526,126.809692,28.736164,28.735994,-124.760742,0.000000,0.000000,0.000000,0.000000,0.000000
123.354492,124.063110,30.441288,30.441067,-121.942749,0.000000,0.000000,0.000000,0.000000,0.000000
120.520020,121.228638,32.132420,32.131958,-119.064331,0.000000,0.000000,0.000000,0.000000,0.000000
117.625122,118.350220,33.808601,33.808926,-116.185913,0.000000,0.000000,0.000000,0.000000,0.000000
114.735718,115.460815,35.468891,35.469387,-113.247070,0.000000,0.000000,0.000000,0.000000,0.000000
111.763916,112.510986,37.112305,37.113243,-110.214844,0.000000,0.000000,0.000000,0.000000,0.000000
108.660278,109.467773,38.737961,38.737629,-107.122192,0.000000,0.000000,0.000000,0.000000,0.000000
105.589600,106.353149,40.344933,40.345413,-104.067993,0.000000,0.000000,0.000000,0.000000,0.000000
102.546387,103.315430,41.932243,41.931816,-101.008301,0.000000,0.000000,0.000000,0.000000,0.000000
99.470215,100.244751,43.498909,43.498909,-97.893677,0.000000,0.000000,0.000000,0.000000,0.000000
96.284180,97.091675,45.044060,45.044655,-94.674683,0.000000,0.000000,0.000000,0.000000,0.000000
93.059692,93.867188,46.566887,46.567238,-91.455688,0.000000,0.000000,0.000000,0.000000,0.000000
89.873657,90.664673,48.066284,48.065762,-88.258667,0.000000,0.000000,0.000000,0.000000,0.000000
86.643677,87.451172,49.541473,49.541222,-84.979248,0.000000,0.000000,0.000000,0.000000,0.000000
83.287354,84.138794,50.991596,50.991802,-81.578979,0.000000,0.000000,0.000000,0.000000,0.000000
79.876099,80.727539,52.415649,52.415623,-78.184204,0.000000,0.000000,0.000000,0.000000,0.000000
76.514282,77.349243,53.812752,53.812710,-74.838867,0.000000,0.000000,0.000000,0.000000,0.000000
73.130493,73.987427,55.182159,55.182343,-71.383667,0.000000,0.000000,0.000000,0.000000,0.000000
69.603882,70.493774,56.522995,56.522522,-67.802124,0.000000,0.000000,0.000000,0.000000,0.000000
66.005859,66.895752,57.834351,57.834522,-64.237061,0.000000,0.000000,0.000000,0.000000,0.000000
62.479248,63.352661,59.115391,59.115417,-60.715942,0.000000,0.000000,0.000000,0.000000,0.000000
58.925171,59.820557,60.365387,60.365414,-57.084961,0.000000,0.000000,0.000000,0.000000,0.000000
55.222778,56.156616,61.583424,61.583694,-53.366089,0.000000,0.000000,0.000000,0.000000,0.000000
51.520386,52.437744,62.768784,62.769485,-49.680176,0.000000,0.000000,0.000000,0.000000,0.000000
47.861938,48.768311,63.920635,63.920074,-46.027222,0.000000,0.000000,0.000000,0.000000,0.000000
44.176025,45.109863,65.038315,65.037537,-42.313843,0.000000,0.000000,0.000000,0.000000,0.000000
40.446167,41.390991,66.120941,66.119217,-38.589478,0.000000,0.000000,0.000000,0.000000,0.000000
36.716309,37.661133,67.167854,67.167313,-34.832153,0.000000,0.000000,0.000000,0.000000,0.000000
32.975464,33.909302,68.178314,68.179146,-31.096802,0.000000,0.000000,0.000000,0.000000,0.000000
29.201660,30.146484,69.151657,69.152069,-27.306519,0.000000,0.000000,0.000000,0.000000,0.000000
25.416870,26.361694,70.087143,70.087341,-23.516235,0.000000,0.000000,0.000000,0.000000,0.000000
21.610107,22.565918,70.984161,70.984245,-19.671021,0.000000,0.000000,0.000000,0.000000,0.000000
17.731934,18.704224,71.842026,71.842194,-15.787354,0.000000,0.000000,0.000000,0.000000,0.000000
